Doctor,Reviews
"Dr. Scott Banning, MD","['The staff ( as always) was welcoming and efficient. Dr Banning was very Knowledgeable , friendly and not in a hurry.  I would highly recommend him for anyone seeking a PCP

Been seeing him for years could not have a better doctor has helped me many times with many issues thanks

Dr Banning is a really good doctor.  We have been seeing him for many years. He keep a close eye on my me and my wife’s health.

Scott has a great bedside manner and calming demeanor.  He listens and carefully prepares a treatment plan. Great GP.

Dr Banning and the entire staff are first class.  Dr Banning  takes time, asks questions, digs deep.  You feel good knowing your condition is being taken care of.  The profession needs more like him.

Dr Banning is outstanding. He spends as much time as you need during your visit. He is very cautious with any symptoms you may have and recommends treatments needed. He is thorough, explains your case very well, and follows up. He takes no chances with your health. He has been our primary care physician for many years and we highly recommend him to anyone looking for a good quality doctor who always looks after you.

I am so thankful for the virtual visit and for Dr. Scott Banning. It meant a lot that he wanted to stay in touch and keep my appointment. The visit was great I hope this is a practice that will continue. Thanks to Dr. Banning for his concern and care especially during this time.

A 4 month checkup cycle office visit was cancelled due to the pandemic.  2 weeks later a replacement virtual visit was arranged and completed satisfactorily.

He did wonderfully with the technology and we had a great checkup.  Thanks, Dr. Banning!

My husband and I have been patients of Dr. Banning for over 15 years. He’s very thorough, patient and extremely knowledgeable. I can honestly say “I trust him with my life.”  My spouse is a rare bird, but Dr. Banning put us with the right specialist each time. One of the best.', ""Always excellent!\nIt's apparent there is a feeling of Getting the very\nBest of care from Dr. Banning and his staff.\nThanks to all.M"", 'Simply the best', ""Our family loves Dr. Banning and the wonderful staff at TPMG Hidenwood.  We appreciate their availability to meet our family's needs."", 'VirtualVisit\\Telehealth appointment -- outstanding.

He is an excellent and compassionate doctor. Takes the time to listen and gives good advice.

Effective and efficient

I would highly recommend Doctor Scott Banning to anyone. He listens. He understands. He cares. 

Dr. Banning is a kind, knowledgeable, professional. Shows interest & concern in me. \nVery through & efficent. 

Dr. Banning has helped me so much over the years!  He and his staff always fit me into the schedule somehow! He is friendly, compassionate, experienced and very knowledgeable about newer treatments.  TPMG-Hidenwood is probably the best managed and well rounded practice I have had. Kudos to all involved there!

I have been a patient of Dr. Banning for over 20 years.  He is absolutely the best.  When my spouse was diagnosed with stage 4 cancer he gave me sound advice that led us to seek another physician and it was the best thing that we ever did.  He has excellent doctor patient rapport ']"
,
"Dr. Natalie Peters, DNP","['Natalie really knows her stuff!  Most importantly, SHE LISTENS!  She clearly communicated her objectives only AFTER listening to my concerns.  She adheres to a “less is more” mantra.  Her practice philosophy is grounded in enhancing “naturally”....she is NOT about her clients appearing fake and overdone. She is clearly passionate about what she does and seems to love to learn (she spoke of the many continuing education/training courses she has taken as well as others she is planning on taking to learn even more advanced techniques).  Overall, I highly recommend Natalie for your esthetic needs.  I not only felt incredibly comfortable with her, but also with her well-trained and very friendly office staff (Kelly and Madi).

Dr. Natalie Peters Is very knowledgeable and very skilled.  I feel very comfortable in her care and have received amazing results.

Natalie is the best injector I have ever been treated by! She is personable, knowledgeable and so kind! I drive 4 hours to see her because her work is outstanding!

I received my first IV Vitamin Bag on Friday. I felt an immediate increase in energy and a mood lift, improved sleep, and an increased output in my workouts. I was very nervous about discomfort but I did not feel any and it was pain free. I look forward to coming back in a couple of weeks for my next treatment!

I started ""seeing"" Natalie recently. I love that she respects and appreciates my approach to easing into a new skincare routine. She is not pushy. She educates. She takes the time to understand my desires and we take it one step at a time together. I am excited with my results thus far and to see my progression! Thank you, Natalie!

Very professîonal, excellent product choice, and the scheduling is easy! The office is lovely and comfortable.

Very caring and compassionate. Even for “needle phobia” clients.

I had an amazing experience with Natalie and team. The environment is clean and welcoming from the moment you enter. Natalie takes the time to show and explain her recommendations based on what you want addressed. I entered with a budget in mind and she and her team were able to describe how to best take advantage of the monthly specials to address as much as possible within my budget without a heavy handed sales pitch. I am thrilled with my results. Natalie’s skilled precision was pain free, left me with no bruising and more importantly left me with a completely natural looking improvement.

Dr Natalie was amazing she took lots of time to listen to my concern and what I was hoping to accomplish.  Her and her staff are super attentive and caring! I highly recommenfd them!

Natalie and her staff are the best.  Extremely knowledgable, does a great job explaining her recommendations and is very down to earth.  Always a fun time visiting and the results are amazing!', ""Natalie was so down to earth not to mention very knowledgeable.  I felt very comfortable and understood everything that was presented to me that day and left with a positive plan to help my skin look it's best.  She took an incredible amount of time to explain everything in detail and never felt rushed or pressured to purchase.  Thanks and so excited to see the results!"", 'Dr. Peters was very friendly and thorough.  She truly cares about her clients and goes through everything step by step.  She was very easy to talk to and be open and honest with.

Facial rejuvenation and jaw pain issues. Highly... Highly recommend.  Takes her time. Kind, caring, and extremely skilled.

Outstanding experience.  She is by far the best in the Lake Country area for your cosmetic medicine needs.  She was very professional, easy to talk to and affordable.   Her staff was warm and welcoming.  My wife and I loved our treatments.  We will be back!  You need to check this place out!!

Natalie dies an extraordinary job of explaining the options you have to obtain the results your looking for.

Lake Country Aesthetics is an amazing company to work for! I have been given the opportunity to work with such great coworkers! Natalie has true talent and knowledge to deal with all different skin types. It is so amazing to see the improvements Natalie makes to our patients appearances everyday! She taught me that it is so important to invest in your skin care and since using professional products, my skin has never looked better! I enjoy working in such a warm, fun, and inviting place and I will forever love being apart of the Lake Country Aesthetics family??

I would recommend ANYONE to Dr. Peters! She has a fantastic personality, is fun to work with, and does an absolute amazing consultation to tell you exactly what you need! My favorite Injector! The staff are incredible!

Everything was great!! The service, the warmth and coziness of the office, the pleasant staff. Very highly recommend.

Natalie is amazing!  She explains everything and makes you feel at ease. I love when I walk out of her office I look so much better and still so natural!

After Natalie confessed the secret to her long luscious eyelashes I bought the serum GrandeLASH - MD. Natalie said give it a month to see results. In two weeks I thought I was Betty Boop. If you are going to trust some one - trust Natalie']"
,
"Dr. Melvin Williams, MD","['My son and I both used to see Dr. Williams when he had his family practice in Forest Park and we were devastated when we heard he was going elsewhere to pursue a career I am so happy he is back and I will be booking me an appointment soon to be reunited with him what a great physician.I sure have missed him. There’s just not any doctors like him out there.

Dr. Melvin J. Williams was our family primary care doctor while he was the attending physician for the Emory Coca-Cola Care Center.  We were devastated when we found out he was leaving to pursue his career elsewhere.  But, because of his genuine care for his patients, word got around regarding his new practice location.  My husband and I are so glad to be reuniting with a physician that takes the time to get to really know his patients and value their input regarding their health and medical needs.  No one could ask for a more caring, sincere medical provider.  Highly recommended.

Dr. Williams listened and made suggestions based on what yoy said', ""I worked for Dr Williams at his family practice in Forest park, Ga back in 2004. I just wanted to say hello to him and say that he is the best Dr I've had the pleasure of working with and being a patient of.  I would like to know if he treats or has any treatments for LUPUS?"", 'Dr. Williams has a great manner about him.  Joviality makes the entire visit seem comfortable.  He seems more interested in quality of life than lecturing me on weight, habits, etc. like some doctors do.  Great doctor to go to.

He is the best

Dr Melvin Williams Jr was a personable physician that made you feel very comfortable when you visited his office.I searched the web to see where he now practice so that I could make him my primary physician again since he left. Forest Park.. He is greatly missed by patience in the Forrest Park region. ', ""I have been seen by Dr. Williams on about 4 occasions and can say he is the best Primary Care Physician I've had. He was easy to talk to about difficult things, made you feel at ease and that your health and prevention/treatment were most important.\n\nHe has since left LifeSigns...if anyone knows where he is, please update this sight so I can find him. He's absolutely the best!!"", 'Excellent doctor how can i find him

Great, informative. I feel like Dr. Williams had my best (health) interest at heart .']"
,
"Dr. Susanna Johnson, MD","['Dr Johnson is thorough, professional, capable and personable. What more could a patient need or want ?

Dr. Johnson is professional and knowledgeable about medical issues. Provide quick patient care. All the nurses work there are doing good job

Dr. Johnson is absolutely wonderful. Personable, friendly, and she takes the time to fully listen, and answer any questions I have during my visits. I am lucky to have her as my family provider!

Dr Johnson is caring, compassionate and thorough. I have been a patient for 10 years and have appreciated the wonderful care she has given me.

Dr. Johnson is a special  Dr. that takes the time to really listen to you and doesn’t make you feel like your just a number or an income. She’s very knowledgeable and I appreciate her being open to life changes before medication.

Doctor Johnson was very friendly and knowledgeable about medical issues. Would definately recommend to others.

Dr Johnson is an amazing doctor. She takes her time with you and listens to your concerns.  Very friendly and professional.

Always pleased with the staff and Drs.

Very personalized and well informed.

Establishing as a new patient and physical.  Dr. Johnson was very thorough.  Very patient driven.  I would absolutely recommend her.

I had a televisit with Dr. Johnson. As always she was caring and helpful and followed through on what we had talked about. I’m glad that she’s my doctor.

Dr Johnson is one of the most kind compassionate doctors I’ve ever been to. She very professional and knowledgeable with an amazing bedside manner. So happy to have found her 13 years ago.

Dr. Johnson is the bright spot in our day when we have our annual check ups.  She is always thorough, professional and pleasant.', ""Going in for a checkup with Dr. Johnson is about as pleasant an experience as a doctor's appointment can be.  She is good, fast, thorough, and talks straight talk, not medical mumbo-jumbo.  I like her."", 'Yearly check up and review of meds.

I confidently make appointments with Dr Johnson knowing she will treat me with respect, take the time to listen to me and answer my questions truthfully . She covers all the bases and I always leave knowing Dr J is there for me.  She is definitely in the right profession.', ""Dr. Johnson is quite simply the most professional, caring, knowledgable and  personable doctor I have ever used.  You can't find a better doctor in central Ohio."", 'Always have a great experience when I need to see Dr. Johnson.  Never feel rushed!

I was in and out in 10 minutes to get a suture removed and get a tetanus shot.

Feel comfortable with her. Provides quality of care encourages prevention strategies understands real life situations would highly recommend Dr Johnson']"
,
"Dr. Alana Pringle, DO","['Questions were answered.  As always Dr. Pringle and others on staff were very professional under these very difficult conditions.

Dr. Pringle is refreshingly  responsive!  She listens carefully to my questions and always responds thoughtfully and thoroughly.  She is the best!

Dr. Pringle was wonderful. I felt like she took a genuine interest in my care. She asked me questions; unlike other doctors in the past.  I look forward to having her as my PCP long term.

Very pleased to have Dr. Pringle as my PCP. She is thorough and attentive to any patient concerns.

I’ve seen Dr Pringle for the past six years. Without fail she has always been the most caring, patient, and compassionate doctor I have ever seen. If there is a problem, she will not stop until she has identified the issue and dealt with it in the best possible way. I’m always happy to refer friends to her and they come away with the exact same feelings.

Dr Pringle is very conservative and checks all signs of illness. Willing to call on others for answers.

Awesome physician.  Dr. Pringle is knowledgable, prompt and personable.

As this was a virtual appointment, the office environment was non-applicable.  Dr. Pringle took the time to listen to my concerns, offered suggestions, and followed up the next day with testing.  A very caring doctor who never makes you feel rushed.

Dr. Pringle is very easy to talk to. She listens and answers questions and is a compassionate doctor. I value her care and highly recommend her.

Dr Pringle is courteous friendly and cares for her patients. All my visits were very good. She refers when she thinks she needs to.

Dr. Pringle is very caring and knowledgeable.  I feel very confident in her care.

Dr. Pringle shows genuine concern for you, not only as a patient but as a human being. She is very caring, compassionate, and listens to your concerns. She does not rush through your appointment, and she explains things in a way that makes you feel at ease, ensuring all of your questions are answered.

Dr. Pringle is awesome.  She will listen to you and what you have to say and then talk to you like a human.  She never makes you feel rushed either.   I feel that I am in great hands wiling Dr. Pringle and would recommend her to anyone.

From my first visit Dr.Pingle has had my best interest at the top of her list. Her and her staff are awesome. Thanks to all of you for help.

She is caring, compassionate, Genuinely concerned about you and your medical needs', ""Dr Pringle is very personable and never makes me feel like she's smarter than I am because she has a medical degree. She takes the time to explain how different medications work and involves me in decisions even when she has to gently guide me to the right one. I have never had a doctor more involved in my healthcare or well being...it is truly refreshing."", 'Super thorough, super responsive, extremely knowledgeable, with a helpful and responsive staff!   Who wouldn’t want this awesome doctor?  She is the best..

Dr. Pringle is absolutely amazing and I would recommend her to anyone. Not only does she value the patients input, she explains things in a way the patient can understand. She takes the time to listen to everything the patient has to say, even if it goes over the allotted appointment time. I would give her 5 stars every time.

Dr. Pringle is very good at making me feel at ease when we’re discussing my health concerns.  She makes me feel like I’m her only patient.

Dr Pringle and office staff were wonderful during my visit.  The office was clean and I felt very comfortable going to the office, even with restrictions in place.  She provided a lot of good information on the virus and protecting myself and others.  Dr Pringle is a very thorough Dr who listens very well.  I highly recommend her.']"
,
"Dr. Jessica Williams, DO","['In over six decades of life, I’ve been to a lot of good doctors and a few who were not so good. Now and then, though, you find one who is truly special. Dr. Williams definitely falls into that category. Her knowledge is unquestionable, but, more importantly, I know she really cares about my health. I sincerely hope that she is my primary physician for the rest of my life - and I hope that’s a long time.', ""My son has down syndrome and I am very particular with his doctors. Dr. Williams was one of the best doctors I could have found for him. She is very caring, attentive, and she was even willing to handle his thyroid disease so I wouldn't have to find a specialist somewhere else. I would definitely recommend her for anyone looking for a family doctor. The wait times are a little long, but that is what you get with a doctor who is involved to make sure you are being treated properly."", ""After 26 years I changed my PCP to Dr. Williams and could not be more happy!  She listens, takes time to get to know you.  I didn't feel like a new patient just going thru the stats.  I look forward to the next 26 years with her as my doctor!!"", 'Dr. Williams was very pleasant, patient and thorough!

I love Dr Williams  So through so understanding and caring.

Tenn daughter aging out of the pediatrician.  Dr. Williams was great with her and made her feel safe and answered all of her questions.  I would highly recommend.

Always a pleasure speaking with Dr. Williams. She makes my grandchildren feel comfortable going to the doctor and being open with anything bothering them, which at ages 15 and 16 is not easy thing to do.

Dr. Williams is a listener.  She asks about the reason for your visit and then listens and patiently probes to get all the information she needs to help you.  She never seems to be rushed to get to her next appointment.  On top of that - she seems to know her stuff!!!!  A call out for the Lone Star Medical team and environment - the staff deals well with the Covid situation and the building lends itself to social distancing needs.

Check up

Dr. Williams is very patient and takes plenty of time with her patients. She is caring and listens to her patients. I never have a problem getting an appointment or waiting for extended periods of time. I highly recommend Dr. Williams.

Transfer patient from another physician in this group. I really appreciated Dr. Williams‘ kindness and the time she spent with me. She made me feel at ease immediately. Knowledgeable. The building is set up really well, COVID careful. No long wait.

As a new patient my daughter received extra care and felt completely comfortable talking with Dr. Williams. I would highly recommend her as a physician!

Dr Jessica Williams is great! She really takes the time out to actually listen to you. She’s very easy to talk to and makes you feel very comfortable. I’ve already recommended her to a friend and will continue to! The Aledo Lonestar staff is great.

Dr. Jessica Williams is the very best!  She actually listens to you and is so easy to talk to.  I feel very fortunate to have found her.

Staff was friendly and timely!

Wonderful Dr who actually listens and explains everything.

To have a health care team I know is there for me with sincerity, genuine care for my well-being, professional to the last detail, and knowing me as a person rather than just a number, is what i experience with Dr. Jessica Williams, Lone Star Medical Group, Aledo/Willow Park, her nurse, Renee, and her clinic coordinator, Leah. What peace!\nSyntha West   817-349-0284

Initial visit for myself, however; Dr. Chandler/Williams has been seeing my teens for the last 3 years. \nShe and her staff always are very professional, knowledgeable and show that they really care about your health with every visit. I would recommend anyone seeking a family physician to look no further.

Dr. Jessica Williams, a family physician in Willow Park/Aledo , Texas is one of the best doctors that I have visited.  She is very kind, happy and intelligent doctor.  She truly cares about your health and well being. Easy to talk to and is more than willing to assist you with any of your health needs.  I would recommend her to anyone that is searching for a  compassionate doctor!', ""My wife began using Dr. Chandler a couple years ago. I always go with her for translation needs so I observed the doctor patient interaction first hand. Since we recently moved, I needed a local doctor who would take my Medicare and she is accepting Medicare.  Dr. Candler is now my doctor. She takes the time to treat you well, by listening and explaining well. I've had many doctors over my 70 years and she is by far the best. I recommend her highly to anyone.""]"
,
