id,headline_location,company,exp_location,title,description,start_day,end_day,first_job_start,number_of_recommendations
e3c423ed-c6f1-41e4-9d5a-688390ded246,"Columbia, Maryland, United States",Company_N,"Company_N Clinical Services, Columbia, MD","Director, NCS IT and Infrastructure","Planned and implemented the IT systems and infrastructure for the company from its earliest days throughout its growth as Impulse Monitoring and acquisition by Company_N. Supported the companyâ€™s integration with Biotronic Nueronetwork in 2016, doubling the companyâ€™s size from 300+ to 600+ employees, revenue from $46 million to $100 million; managing both the IT department and integration activities including site, data center and ERP moves. Handles recruiting and hiring of staff, currently managing ten direct reports in IT with very low turnover. Responsible for client management/client services, in respect to working with our client hospitals (600+) to acquire and maintain OR connectivity for the remote oversight of surgical cases by our neurologists. Insures an inventory of clinical devices and IT hardware with a value of over $10 million is properly maintained and tracked. Handles the technological aspects of acquisitions, including due diligence requests, training and systems integration. Manages vendors and providers. Develops and maintains policy and procedure for workflows, systems and disaster recovery as well as insuring associated documentation is maintained. Heads up IT compliance for SOX, HIPPA and Joint Commission; handles audits. Select and assist with the implementation and maintenance of all technology used by the business. Responsible for $2,000,000+ operating budget and additional capital expenditures. Supports custom built applications and integrations, coordinates training and the creation of training materials for users of all systems. Provides remote employees with technology, systems and support; allowing them to perform at a high level away from the corporate office. Manages and supports network infrastructure and systems and insures premier support for our physicians, neurophysiologists and all other internal and external clients. Acts as backup for support of all systems and positions.",6/1/2016,,8/1/1986,6.8
e40743d7-c4d8-4148-a360-ce15c435c5ec,"San Diego, California, United States",Company_N,"San Diego, California, United States",Senior Manufacturing Engineer,,3/1/2020,,10/1/2006,3.4
e40743d7-c4d8-4148-a360-ce15c435c5ec,"San Diego, California, United States",Company_N,,Manufacturing Engineer,,12/1/2017,3/1/2020,10/1/2006,3.4
7135c720-7d78-4c81-a45c-b66bc0acd437,"Birmingham, Alabama, United States",Company_N,"Birmingham, Alabama, United States",Sales Associate,,7/1/2020,,8/1/2018,4.3
de7199ef-ea0a-4345-b75c-c7f03a4545e0,"San Diego, California, United States",Company_N,"San Diego, California","Sr. Associate Product Manager, X360",,9/1/2020,,5/1/2014,2.4
de7199ef-ea0a-4345-b75c-c7f03a4545e0,"San Diego, California, United States",Company_N,"San Diego, California","Sr. Associate Product Manager, Fixation Procedures",,2/1/2020,9/1/2020,5/1/2014,2.4
619e435b-d7f4-408c-9183-375c9571103e,"South Lebanon, Ohio, United States",Company_N,"Dayton, Ohio Area",Associate Manufacturing Manager,"Production manufacturing manager for a leading medical device company. Launch team member for the startup of a 160,000 sq.ft. facility employing 300 associates. ",3/1/2017,5/1/2018,5/1/2002,4.4
43e67839-1631-4e45-b789-60a402d90e9c,"San Vittore Olona, Lombardy, Italy",Company_N,Milano,Senior Accountant,"Reporting to the Finance Manager Southern Europe. Main responsibilities: Manage the accounting of the Italian company of the group (AP, GL, Payroll, Travel Expenses, Agents, Intercompany) in line with local accounting and fiscal regulations, preparation of the Statutory Financial Statement liaising with external auditors. Manage monthly, quarterly and year end closing activities and Usgaap adjustments; preparation of the Reporting Package for the Corporation in the USA. Processing and printout of mandatory books (journal, inventory, fixed asset, VAT); periodical VAT returns; Intrastat, Withholding tax and related certifications, Spesometro, Esterometro, Enasarco; support to consultants in the preparation and filing of yearly declarations (770,Unico, Irap)",12/1/2017,,11/1/1988,6.2
95802df6-7c38-42bf-9aa6-771d4a3c1830,"Carlsbad, California, United States",Company_N,Greater San Diego Area,Senior SAP Basis/Security Administrator,,4/1/2013,,1/1/1989,6
d68486ff-1954-4d2f-bd90-537317fca6d5,"Leuven, Flemish Region, Belgium",Company_N,Amsterdam,Sr. product manager procedures Europe,,12/1/2018,,7/1/2006,5.2
6fc77c8e-e31f-4e92-9d22-e72d6d43af1b,"Oceanside, California, United States",Company_N,Greater San Diego Area,Lead Project Manager,,11/1/2019,,10/1/2005,2.2
6fc77c8e-e31f-4e92-9d22-e72d6d43af1b,"Oceanside, California, United States",Company_N,Greater San Diego Area,Global Logistics Manager,,11/1/2018,11/1/2019,10/1/2005,2.2
bbfd1c46-2268-45d2-8489-8a5969ecf5b2,"San Diego, California, United States",Company_N,Greater San Diego Area,Associate Product Specialist,,11/1/2019,,6/1/2015,7
6f32757b-79da-4c0d-afbc-61377f24cbaa,"San Diego, California, United States",Company_N,"San Diego, CA",VP Tax,"Hired to establish new tax department so lead a team of 6 tax professionals plus partner with country finance managers around the globe. Key responsibilities include all areas of tax. Drive key initiatives including IP migration, legal entity restructuring, and building a new tax department which includes bringing significant work in-house from advisors such as tax provision, tax compliance (sales/use and tax returns), and planning.",2/1/2013,8/1/2015,11/1/1996,4.3
ffb4e9bf-9192-4536-9c2c-f0f23b0d3c76,"Leesburg, Virginia, United States",Company_N,,Sales Director,"Spearheaded sales operations and controlled P&L for leading global provider of procedural integrated spine solutions, training and driving talented team of six generating over $12M in business annually. Oversaw cross-selling functions, encompassing management of hardware, neuro modulation, and service business.",1/1/2017,12/1/2018,1/1/2001,4
ffb4e9bf-9192-4536-9c2c-f0f23b0d3c76,"Leesburg, Virginia, United States",Company_N,,Regional Market Development Manager,"Coordinated and provided field-based training, offering coaching and support to 65 sales representatives in Atlantic region. Managed Integrated Global Allignment (IGA), Spinopelvic Parameters â€“ implementing procedural solution to effectively distinguish products and services. Planned and implemented local resident and fellow programs.",1/1/2016,12/1/2017,1/1/2001,4
24b19d24-736c-4ab7-a737-9d0bb75c4b2d,"Kingston, Illinois, United States",Company_N,Greater Chicago Area,"Associate Manager, Global Logistics",,5/1/2018,,4/1/2004,7
24b19d24-736c-4ab7-a737-9d0bb75c4b2d,"Kingston, Illinois, United States",Company_N,Greater Chicago Area,"Associate Manager, Global Logistics",,5/1/2018,,4/1/2004,7
24b19d24-736c-4ab7-a737-9d0bb75c4b2d,"Kingston, Illinois, United States",Company_N,Greater Chicago Area,Team Lead Field Service,Providing sales the utmost sourcing and distribution minimizing company cost,6/1/2017,5/1/2018,4/1/2004,7
4c33318e-3c72-4c26-a0f9-8fc6f5a85f25,"Austin, Texas, United States",Company_N,Greater San Diego Area,Assoc. Design Engineer Intern (Customs & Specials),"â€¢ Designed custom biomedical instruments for use in Maximum Access Spinal Surgery; designed for manufacturing of Stainless Steels, including welding, laser marking, and assembly ",6/1/2016,8/1/2016,9/1/2012,6
bc59b688-e784-409c-904e-0d6eafa7c039,"Long Beach, California, United States",Company_N,Greater San Diego Area,"Leader, Cervical, Biologics and Advanced Material Sciences",,1/1/2020,,5/1/2000,5.7
bc59b688-e784-409c-904e-0d6eafa7c039,"Long Beach, California, United States",Company_N,Greater San Diego Area,"Leader, Biologics",,11/1/2017,1/1/2020,5/1/2000,5.7
bc59b688-e784-409c-904e-0d6eafa7c039,"Long Beach, California, United States",Company_N,Greater San Diego Area,"Sr. Director, Channel Management and Commercial Strategy",,1/1/2017,10/1/2017,5/1/2000,5.7
bc59b688-e784-409c-904e-0d6eafa7c039,"Long Beach, California, United States",Company_N,Greater San Diego Area,Director of Supply Chain and Business Intelligence,,5/1/2014,12/1/2016,5/1/2000,5.7
6bb22285-69fe-4088-8773-f810752fb801,"Del Mar, California, United States",Company_N,"San Diego, California","Director, Corporate Legal",,9/1/2014,,6/1/2009,7.8
80ca6930-db89-4a1a-9465-b2515fba3500,"Oakland, California, United States",Company_N,"West Carrollton, OH",Manufacturing Engineering Intern,â€¢ Transferred post-processing manufacturing line to new factory to accommodate an anticipated 200% production increase.,6/1/2017,9/1/2017,7/1/2015,4
9cdd4f37-7ee3-4820-9e49-2db49b5c024e,"San Diego, California, United States",Company_N,,"Manager, Organizational Effectivness and Learning",,1/1/2017,4/1/2020,1/1/2012,4.9
88673c7c-8b30-4074-b795-00a7784c19f1,"Los Angeles, California, United States",Company_N,Greater San Diego Area,Lead Business Analyst,"Evaluated Tack-wise, Veeva Systems, Master Control and EtQ for Enterprise Quality Management System. ",7/1/2016,9/1/2019,4/1/1996,3.5
584e244c-011c-4de3-9340-f1651692b7ac,"Dayton, Ohio, United States",Company_N,"West Carrollton, Ohio",Quality Manager,"Leads a team of Quality Control Inspectors and ensures that all products meet Company_Nâ€™s exceptionally high-quality standards while ensuring that the velocity of product flow through the function meets supply chain objectives. Builds a team of Shareowners that are best in class at execution of quality plans and masters deploying state of the art inspection techniques. Carefully establishes optimal department capacity, and personnel capability through tight collaboration with cross-functional peers that reside globally. Accurately represents QC processes and team to third part auditors such as FDA, ISO 13485 / Notified Body, etc. ",9/1/2018,,1/1/1994,5.1
0fee70a6-b03f-474b-bcbf-3d753d3f1ecd,"Fort Lauderdale, Florida, United States",Company_N,"Ft Lauderdale/Miami, FL",Spinal Sales Representative,"Sold spine hardware, interbody devices & bone grafting products, plus Neuromonitoring services with the Company_N product line.",5/1/2004,12/1/2006,7/1/1988,7
f6f005e5-4107-4c86-a2c7-e81ac277d59b,"Newport Beach, California, United States",Company_N,"Orange County, California",Spine Specialist,"Sell Spinal and Biologic implants to Neuro and Orthopedic Spine surgeon's in the Orange County marketplace. Work closely with surgeon's to provide patient specific implant options for Degenerative, Trauma and Deformity based spinal surgery. ",11/1/2013,,7/1/2001,1.9
6408a9ef-a111-49c3-b0e7-73197c3768d1,"Waterford, Western Australia, Australia",Company_N,"Perth, Australia",Operations,,5/1/2016,5/1/2018,12/1/2013,8
a0252e6a-7eeb-4d43-8a2a-ca5850ace674,"Waterford, Michigan, United States",Company_N,,Regional Manager,,7/1/2016,,3/1/2004,6.8
009b8d05-2fd5-422c-935b-f2d85bec6729,"San Diego, California, United States",Company_N,"San Diego, California",Creative Director,,12/1/2017,,8/1/2011,6.5
794d695e-e07e-4aba-90e4-e77a4708e755,"Mountain View, California, United States",Company_N,Greater San Diego Area,Design Engineer Intern,"Designed, tested, and manufactured a minimally invasive anterior spinal fixation system. Interacted with spinal surgeons while providing support and knowledge for a trial product and existing product lines.",5/1/2009,8/1/2009,5/1/2007,7.1
794d695e-e07e-4aba-90e4-e77a4708e755,"Mountain View, California, United States",Company_N,Greater San Diego Area,Design Engineer Intern,"Designed, tested, and manufactured a minimally invasive anterior spinal fixation system. Interacted with spinal surgeons while providing support and knowledge for a trial product and existing product lines.",1/1/2008,7/1/2008,5/1/2007,7.1
952767ed-d1dd-46aa-8cad-6d4f9621fe0d,"San Diego, California, United States",Company_N,"San Diego, California, United States",Senior Software Test Engineer,,3/1/2020,,11/1/2009,4.2
952767ed-d1dd-46aa-8cad-6d4f9621fe0d,"San Diego, California, United States",Company_N,"San Diego, California",Software Test Engineer,,8/1/2017,2/1/2020,11/1/2009,4.2
171f06f0-ecf6-4e31-a8cd-c0cac06a0405,"Mission, Kansas, United States",Company_N,,Clinical Resources Intern,Data entry and transfer of data for post-market medical devices from case report forms to electronic databases,5/1/2010,8/1/2010,5/1/2010,4.8
0a22e577-5c12-414e-9f5e-b7ba5c7874c0,"Charlotte, Vermont, United States",Company_N,"Burlington, Vermont Area",Sales Representative,Assist optimization of surgical outcomes. Thermal Surgical distributes Company_N spine products.,9/1/2015,11/1/2018,1/1/1993,4.2
6e08c8c0-13a9-49a6-9b97-6020c5687f5b,"San Diego, California, United States",Company_N,,"Sr Manager, Financial Systems & Reporting",,9/1/2014,4/1/2019,7/1/2000,6
6e08c8c0-13a9-49a6-9b97-6020c5687f5b,"San Diego, California, United States",Company_N,,"Manager, Financial Systems & Reporting",,7/1/2007,9/1/2014,7/1/2000,6
fad846fc-9b17-4860-bbfa-7904bfa86077,"Memphis, Tennessee, United States",Company_N,Greater Memphis Area,Customer Service Representative,"â€¢ Handled high volume incoming / outgoing communications from hospitals, sales associates and ",3/1/2010,3/1/2013,1/1/1986,1.9
1464ccf4-3308-45c3-9b6d-1284e78750f2,"Dallas, Texas, United States",Company_N,,Spine Associate,,10/1/2012,2/1/2013,2/1/2006,3.7
4536d88c-d040-4b58-9bed-78c96a2df34f,"Findlay, Ohio, United States",Company_N,,Neurophysiologist,,8/1/2016,,6/1/2002,5.1
741635b0-920f-4415-91df-b75014338c46,"Framingham, Massachusetts, United States",Company_N,,Senior Neurophysiologist,,5/1/2015,,5/1/2015,6.4
4c5466f7-73c2-462b-a5f2-22f31e8b959e,"Carlsbad, California, United States",Company_N,Greater San Diego Area,Senior Quality Engineer,,3/1/2014,1/1/2015,6/1/2010,3.1
4c5466f7-73c2-462b-a5f2-22f31e8b959e,"Carlsbad, California, United States",Company_N,Greater San Diego Area,Quality Engineer,,1/1/2012,3/1/2014,6/1/2010,3.1
4c5466f7-73c2-462b-a5f2-22f31e8b959e,"Carlsbad, California, United States",Company_N,Greater San Diego Area,Associate Quality Engineer,,6/1/2010,1/1/2012,6/1/2010,3.1
29af2b52-f53a-493e-bd5c-d2b2f16fc5fa,"Rancho Santa Fe, California, United States",Company_N,"San Diego, California, United States","Executive Vice President, Global Business Units at Company_N","Responsible for the Companyâ€™s product and services organization, including Spine, Company_N Specialized Orthopedics (NSO) and Company_N Clinical Services (NCS), and commercial enablement such as clinical professional development and global marketing.",10/1/2020,,6/1/2008,4.8
29af2b52-f53a-493e-bd5c-d2b2f16fc5fa,"Rancho Santa Fe, California, United States",Company_N,Greater San Diego Area,"Senior Vice President, Spine Business Unit","Leader of the Spine division including, Product Management, Product Marketing, Research and Development and Portfolio Management for market-leading, procedurally integrated technologies.",1/1/2020,10/1/2020,6/1/2008,4.8
29af2b52-f53a-493e-bd5c-d2b2f16fc5fa,"Rancho Santa Fe, California, United States",Company_N,Greater San Diego Area,"Leader, Global Implant Systems and Company_N Specialized Orthopedics","Lead the Global Implants Systems group, which encompasses the development and product management for Company_Nâ€™s implant portfolio, including spine implants, fixation, and biologics.",6/1/2018,1/1/2020,6/1/2008,4.8
29af2b52-f53a-493e-bd5c-d2b2f16fc5fa,"Rancho Santa Fe, California, United States",Company_N,Greater San Diego Area,"President, Company_N Specialized Orthopedics",Global P&L responsibility for a high growth medical device company specialized in limb reconstruction with proprietary magnetic technology.,6/1/2017,6/1/2018,6/1/2008,4.8
197c6cdd-3489-48c8-8d34-320d4ae90a19,"Cardiff-by-the-Sea, California, United States",Company_N,"San Diego, CA","Associate, Sales Training and Development",,1/1/2013,12/1/2013,5/1/2007,6.3
197c6cdd-3489-48c8-8d34-320d4ae90a19,"Cardiff-by-the-Sea, California, United States",Company_N,"San Diego, CA","Senior Coordinator, Sales Training and Development",,7/1/2011,1/1/2013,5/1/2007,6.3
197c6cdd-3489-48c8-8d34-320d4ae90a19,"Cardiff-by-the-Sea, California, United States",Company_N,"San Diego, CA","Coordinator, Sales Training and Development",,7/1/2010,7/1/2011,5/1/2007,6.3
197c6cdd-3489-48c8-8d34-320d4ae90a19,"Cardiff-by-the-Sea, California, United States",Company_N,"San Diego, CA",Sales Support Administrator,,5/1/2007,7/1/2010,5/1/2007,6.3
e059c1bc-6d4f-4e5d-a929-16c1d467871d,"Menlo Park, California, United States",Company_N,,Software Engineering Intern,,5/1/2017,8/1/2017,5/1/2017,4
01a4ae66-24e6-4dfc-9ce6-394ea9de5751,"San Diego, California, United States",Company_N,Greater San Diego Area,"Sr. Manager, Corporate Tax",,9/1/2018,,1/1/2003,5.8
4336c0a9-af83-4c0e-ac6e-0b1096d2ee86,"Portland, Oregon, United States",Company_N,"Portland, Oregon Area",Key Account Manager,,10/1/2019,,6/1/2003,1.8
4336c0a9-af83-4c0e-ac6e-0b1096d2ee86,"Portland, Oregon, United States",Company_N,"Portland, Oregon Area",Key Account Manager,,10/1/2019,,6/1/2003,1.8
4336c0a9-af83-4c0e-ac6e-0b1096d2ee86,"Portland, Oregon, United States",Company_N,,Senior Spine Sales Specialist,Manage and develop sales territories through strategic establishment and maintenance of key relationships with health professionals. Lead and coach surgical team and associated staff through spine surgeries,3/1/2007,7/1/2016,6/1/2003,1.8
3467588a-6084-4395-86fb-94b0744e14cc,"St Louis, Missouri, United States",Company_N,"San Diego County, California, United States",AWS DevOps Engineer,ïƒ¼ Built and Deployed Java/J2EE to a web application server in an Agile continuous integration environment and automated the whole process. ,11/1/2015,12/1/2017,3/1/2012,3.8
3a738fc4-3ef2-494b-b1cb-685dccf3985b,"Ferndale, Michigan, United States",Company_N,,Manager Personnel Training And Development,,5/1/2008,5/1/2010,5/1/2008,7.6
6233e061-98dd-4ae8-b83e-c89bf7fb3ec6,"Harrington Park, New Jersey, United States",Company_N,new jersey,Senior Spine Specialist,"Company_NÂ® is an innovative medical device company focused on developing minimally disruptive surgical products and procedures for the spine. Our mission is to improve the lives of patients who suffer from debilitating back, neck, or leg pain by creating cutting-edge products and procedures that revolutionize spine surgery through focusing on Speed of InnovationÂ®, Absolute ResponsivenessÂ®, and Superior Clinical Results.",5/1/2014,10/1/2020,2/1/2007,5.6
ab2c8f44-252c-4373-806b-2f4e56714d45,"Solana Beach, California, United States",Company_N,,Intern,"At Company_N I worked with the marketing team in product research and also created a library of our competitor's product information. In R&D I designed and wrote a proposal for a new medical device to meet my supervisor's specific needs, as well as prepared for the company's international sales meetings by putting together important program materials. I also performed several other duties including: scanning x-rays, delivering mail, and filing important documents.",1/1/2009,12/1/2009,8/1/2005,2.4
208c7e8e-5bd1-4548-ad62-b52e197212a6,"Cincinnati, Ohio, United States",Company_N,"Dayton, Ohio Area",Senior Machinist,,8/1/2018,,6/1/2004,5.9
208c7e8e-5bd1-4548-ad62-b52e197212a6,"Cincinnati, Ohio, United States",Company_N,"Dayton, Ohio Area",CNC Machinist,,3/1/2017,8/1/2018,6/1/2004,5.9
ac88550f-fcb5-4c91-a814-730d776c1c51,"Westlake Village, California, United States",Company_N,"Westlake Village, California",Senior Surgical Neurophysiologist,,7/1/2018,,1/1/1990,6.4
28299fc6-49b7-4d8a-bfe8-a5d051aa23b6,"San Diego, California, United States",Company_N,Greater San Diego Area,Associate Portfolio Manager,,7/1/2019,,6/1/2011,5.8
28299fc6-49b7-4d8a-bfe8-a5d051aa23b6,"San Diego, California, United States",Company_N,"San Diego, California",Sr. Project Coordinator,,4/1/2018,6/1/2019,6/1/2011,5.8
5c185e4e-3f70-42d1-bbac-fbbdf57ec693,United States,Company_N,West carrollton ohio,Plant Controller,,2/1/2017,,2/1/2017,4.5
3e5b76a1-c29a-462c-9d1d-45be7009062e,"Austin, Texas, United States",Company_N,"Austin, Texas",Spine Specialist,,6/1/2017,6/1/2019,8/1/2009,5.7
585a93ec-4b41-4832-be52-78aae8faa0df,"Amsterdam, North Holland, Netherlands",Company_N,"Amsterdam Area, Netherlands",Senior Manager International Operations,,6/1/2016,,7/1/2010,5.9
e7a0b613-6363-49cf-b384-54744bc6019a,"Redmond, Oregon, United States",Company_N,,SAP Functional Analyst/Sr. Business Analyst,ïƒ˜ Created and implemented system enhancements that improved usability and streamlined processes resulting in a 67% reduction in engineering man hours required for design change,1/1/2011,8/1/2015,5/1/1985,5.8
e7a0b613-6363-49cf-b384-54744bc6019a,"Redmond, Oregon, United States",Company_N,,"Team Lead, Document Control",Company_N is a leader in creative spine surgery techniques. Company_N under Project Serengeti decided to implement SAP as a Corporate ERP tool to manage their growing business requirements.,10/1/2003,1/1/2011,5/1/1985,5.8
f887aad9-c042-454c-9c3b-c0e804e0ed18,"Dayton, Ohio, United States",Company_N,"West Carrollton, Ohio",Associate Machinist,,7/1/2018,,8/1/1999,1.4
38fff580-4308-4f57-9f4f-6a12eab47c3d,"Cincinnati, Ohio, United States",Company_N,Impulse Monitoring,Intra-Operative Neuro Monitoring Specialist,"The Intraoperative Neuromonitoring (IONM) Specialist is an advanced position for intraoperative neuromonitoring. A neurological intraoperative monitoring technologist usually works in a hospital alongside surgeons and anesthesiologists. This technologist is someone who both prepares patients for neuro-diagnostic procedures and conducts intraoperative monitoring procedures on patients. The purpose of the monitoring is to reduce the risk of neurological defects after patients have operations. Some of the technologies used by a CNIM technologist include electromyography, somatosensory-evoked potentials, and electroencephalography.",10/1/2015,8/1/2016,12/1/2005,5.6
047bbda9-5a9b-4697-9878-f8c7a540a9d7,"Fenton, Michigan, United States",Company_N,"Saginaw, Michigan Area","Team Manager, Company_N Clinical Services",,6/1/2007,,6/1/2007,7.6
2bd1f5e0-e6c8-4032-912e-359030ce173f,"Louisville, Kentucky, United States",Company_N,,Senior Neurophysiologist / Trainer,"Formerly Impulse Monitoring, Inc.",1/1/2009,,1/1/1998,6.3
